time,radius,d_radius
0.0,0.0,3.713947582703123e-11
3.8895371450797115e-05,6.094216588457554e-06,3.772929476215557e-11
9.075586671852716e-05,1.828264976537266e-05,4.215177139330542e-11
0.00012965123816932426,2.4376866353830217e-05,4.5671489590272404e-11
0.00016854660962012158,3.047108294228777e-05,4.9832881998547956e-11
0.00020744198107091867,3.656529953074532e-05,5.448913040464139e-11
0.00023337222870478309,4.2659516119202876e-05,5.952421837632805e-11
0.00027226760015557967,4.875373270766043e-05,6.484996415926173e-11
0.00032412809542331023,5.484794929611798e-05,7.040043442116132e-11
0.0003759885906910408,6.703638247303309e-05,8.199135264409014e-11
0.0004278490859587696,7.313059906149064e-05,8.796726285895308e-11
0.0004797095812265002,7.92248156499482e-05,9.403305162798192e-11
0.0005315700764942289,8.531903223840575e-05,1.0017239289909793e-10
0.0005704654479450274,9.14132488268633e-05,1.0637255208406793e-10
0.000609360819395824,9.750746541532087e-05,1.126234851694362e-10
0.0006612213146635545,0.00010360168200377842,1.1891718556890185e-10
0.0007260469337482154,0.00010969589859223597,1.2524720624681827e-10
0.000777907429015946,0.00011579011518069352,1.3160830657190067e-10
0.0008297679242836766,0.00012188433176915108,1.3799618864990338e-10
0.0009334889148191359,0.00013407276494606618,1.5083867421689396e-10
0.0010501750291715276,0.00014626119812298128,1.6375266515530265e-10
0.0011279657720731225,0.00015235541471143884,1.702313932683124e-10
0.001179826267340853,0.0001584496312998964,1.76722486401032e-10
0.0012316867626085818,0.00016454384788835394,1.8322463039269866e-10
0.0012835472578763124,0.0001706380644768115,1.897366891310299e-10
